,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,time_signature,track_name,artist_name,most_common_genre,min_lyrics_sentiment,max_lyrics_sentiment,avg_lyrics_sentiment
0,0.161,0.48200000000000004,1,-11.21,0,0.0472,0.486,0.409,0.0926,161.092,233079,5,Desafío,Arca,dance pop,0.5095000267028809,0.32440000772476196,0.4997
1,0.23,0.434,10,-12.402000000000001,0,0.0551,0.57,0.0,0.0834,80.793,216905,5,Anoche,Arca,dance pop,0.9980999827384949,0.003800000064074993,0.4984
2,0.289,0.28,9,-15.335,1,0.0433,0.8740000000000001,0.00443,0.0391,124.835,215773,3,Sin Rumbo,Arca,dance pop,0.569100022315979,0.14069999754428864,0.4642
3,0.499,0.648,7,-5.812,1,0.0331,0.723,0.0,0.46399999999999997,88.14,219107,4,La Gata Bajo la Lluvia,Rocío Dúrcal,latin,0.9093999862670898,0.01940000057220459,0.4776
4,0.528,0.38299999999999995,2,-11.17,1,0.0258,0.376,0.0,0.46,89.089,328320,4,Querida,Juan Gabriel,latin,0.6504999995231628,0.33899998664855957,0.4901
5,0.33,0.574,4,-11.642999999999999,0,0.0338,0.000268,0.0,0.193,99.258,298160,4,Otro Día para Ser,Hermetica,argentine rock,0.520799994468689,0.0,0.4352
6,0.406,0.9470000000000001,11,-9.738,0,0.0817,0.000117,2.11e-05,0.32799999999999996,139.914,222000,4,Robo un Auto,Hermetica,argentine rock,0.6962000131607056,0.00019999999494757503,0.4828
7,0.5770000000000001,0.85,0,-7.099,1,0.0756,0.000376,0.0,0.561,116.96799999999999,243107,4,El Pibe Tigre,Almafuerte,argentine rock,0.8549000024795532,9.999999747378752e-05,0.4652
8,0.28800000000000003,0.982,2,-4.81,1,0.10300000000000001,0.00599,0.00031800000000000003,0.408,90.765,316413,4,Deseando Destruir y Matar,V8,argentine metal,0.5047000050544739,0.5047000050544739,0.5047
9,0.467,0.8909999999999999,11,-6.931,1,0.0596,3.69e-05,0.0,0.521,110.228,257267,4,Nido De Almas,Malon,argentine rock,0.7006000280380249,0.0005000000237487257,0.4662
10,0.475,0.8640000000000001,2,-7.319,1,0.0428,5.75e-06,0.00075,0.645,109.01700000000001,215587,4,Malon Mestizo,Malon,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
11,0.733,0.319,7,-11.585,1,0.0298,0.322,8.18e-06,0.466,110.00200000000001,325467,4,Asi Fue,Isabel Pantoja,spanish pop,0.8745999932289124,0.0,0.4185
12,0.35700000000000004,0.9740000000000001,2,-3.7430000000000003,1,0.23399999999999999,0.000924,5.7100000000000006e-05,0.28600000000000003,145.063,128427,4,Destruccion,V8,argentine metal,0.5047000050544739,0.5047000050544739,0.5047
13,0.298,0.856,4,-5.0489999999999995,1,0.0481,0.0042,0.00299,0.446,129.838,228145,4,Toro y Pampa - En Vivo,Almafuerte,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
14,0.385,0.902,4,-6.595,0,0.068,0.00021400000000000002,0.00011499999999999999,0.607,140.671,255400,4,Sintoma De La Infeccion,Malon,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
15,0.258,0.522,9,-9.859,1,0.0316,0.688,0.0,0.419,167.582,272800,4,Un Beso Y Una Flor,Nino Bravo,spanish pop,0.9763000011444092,0.002099999925121665,0.4897
16,0.361,0.527,2,-10.366,1,0.0288,0.7190000000000001,0.0,0.499,90.368,249333,4,Libre,Nino Bravo,spanish pop,0.9987999796867371,0.0,0.4468
17,0.507,0.532,11,-8.533,1,0.0499,0.5770000000000001,4.14e-05,0.34600000000000003,140.099,279160,4,Como yo te amo,Raphael,bolero,0.6093000173568726,0.0,0.4302
18,0.897,0.517,9,-9.977,0,0.141,0.0153,0.000279,0.943,122.014,299027,4,Niña de Tilcara,Intoxicados,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
19,0.49200000000000005,0.8240000000000001,4,-5.194,0,0.0677,0.218,0.0,0.363,124.156,268840,4,Perro Amor Explota - Live In Buenos Aires / 2001,Bersuit Vergarabat,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
20,0.772,0.762,6,-3.838,0,0.0245,0.11900000000000001,0.0,0.965,98.037,208533,4,El Viejo De Arriba,Bersuit Vergarabat,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
21,0.5760000000000001,0.932,5,-2.677,0,0.0649,0.0603,0.0,0.778,96.02799999999999,245147,4,No Se Llama Amor,Turf,argentine rock,0.5056999921798706,0.026900000870227814,0.4496
22,0.593,0.838,2,-5.322,1,0.0367,0.00043200000000000004,0.0153,0.249,103.994,180067,4,Brujería,Los Tipitos,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
23,0.2,0.9890000000000001,7,-3.35,0,0.0952,0.0008550000000000001,0.000545,0.201,103.021,298187,4,No Me Arrepiento de Este Amor - En Vivo,Attaque 77,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
24,0.7709999999999999,0.852,8,-4.61,1,0.0406,0.336,1.8100000000000003e-05,0.919,96.06700000000001,220813,4,No Me Arrepiento de Este Amor,Gilda,argentine rock,0.5062999725341797,0.007600000128149986,0.4188
25,0.662,0.813,11,-9.044,1,0.0425,0.278,0.000563,0.96,100.855,243920,4,La Ventanita,Grupo Sombras,cumbia villera,0.5047000050544739,0.5047000050544739,0.5047
26,0.773,0.9179999999999999,9,-3.443,0,0.0461,0.23600000000000002,9.3e-06,0.9209999999999999,99.96600000000001,183267,4,Una Ráfaga de Amor,Rafaga,cumbia villera,0.5047000050544739,0.5047000050544739,0.5047
27,0.747,0.907,10,-1.921,1,0.0515,0.316,0.0,0.757,98.005,240853,4,Una Cerveza,Rafaga,cumbia villera,0.5048999786376953,0.0,0.3998
28,0.716,0.40299999999999997,0,-6.325,1,0.0261,0.55,5.74e-06,0.685,96.163,218198,4,Rata De Dos Patas,Paquita La Del Barrio,grupera,0.5063999891281128,0.0,0.4192
