danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,num_artists,track_name,genero,artist_name
0.161,0.482,1,-11.21,0,0.0472,0.486,0.409,0.371,0.0926,161.092,7j9DYPyCuvSAtPcevpAkzb,spotify:track:7j9DYPyCuvSAtPcevpAkzb,233079,5,1,Desafío,"['art pop', 'dance pop', 'deconstructed club', 'electropop', 'escape room', 'experimental pop', 'fluxwork', 'indie r&b', 'indietronica']",Arca
0.23,0.434,10,-12.402,0,0.0551,0.57,0.0,0.115,0.0834,80.793,1cwTMSQeMaA9fVKEF1iWeD,spotify:track:1cwTMSQeMaA9fVKEF1iWeD,216905,5,1,Anoche,"['art pop', 'dance pop', 'deconstructed club', 'electropop', 'escape room', 'experimental pop', 'fluxwork', 'indie r&b', 'indietronica']",Arca
0.289,0.28,9,-15.335,1,0.0433,0.874,0.00443,0.124,0.0391,124.835,0aL27vskbMpwsMGUkHm3Zf,spotify:track:0aL27vskbMpwsMGUkHm3Zf,215773,3,1,Sin Rumbo,"['art pop', 'dance pop', 'deconstructed club', 'electropop', 'escape room', 'experimental pop', 'fluxwork', 'indie r&b', 'indietronica']",Arca
0.499,0.648,7,-5.812,1,0.0331,0.723,0.0,0.576,0.464,88.14,2kfSFdq2h0xLXq01em1zc7,spotify:track:2kfSFdq2h0xLXq01em1zc7,219107,4,1,La Gata Bajo la Lluvia,"['bolero', 'cancion melodica', 'grupera', 'latin', 'latin pop', 'ranchera']",Rocío Dúrcal
0.528,0.383,2,-11.17,1,0.0258,0.376,0.0,0.11,0.46,89.089,5ySxlyvySBhIEvoO2xx7uT,spotify:track:5ySxlyvySBhIEvoO2xx7uT,328320,4,1,Querida,"['cancion melodica', 'latin', 'latin pop']",Juan Gabriel
0.33,0.574,4,-11.643,0,0.0338,0.000268,0.0,0.104,0.193,99.258,4c3ix86CIDIVzXBTRUNwBd,spotify:track:4c3ix86CIDIVzXBTRUNwBd,298160,4,1,Otro Día para Ser,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock nacional']",Hermetica
0.406,0.947,11,-9.738,0,0.0817,0.000117,2.11e-05,0.109,0.328,139.914,6JnnF3ZIpuJt51oG9wVAEb,spotify:track:6JnnF3ZIpuJt51oG9wVAEb,222000,4,1,Robo un Auto,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock nacional']",Hermetica
0.577,0.85,0,-7.099,1,0.0756,0.000376,0.0,0.11,0.561,116.968,6p5SbKcAnIECU3hoFkZlPQ,spotify:track:6p5SbKcAnIECU3hoFkZlPQ,243107,4,1,El Pibe Tigre,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin alternative', 'latin metal', 'rock en espanol', 'rock nacional']",Almafuerte
0.288,0.982,2,-4.81,1,0.103,0.00599,0.000318,0.688,0.408,90.765,2zumIZU09Iz2eGRJ5UXHms,spotify:track:2zumIZU09Iz2eGRJ5UXHms,316413,4,1,Deseando Destruir y Matar,"['argentine heavy metal', 'argentine metal', 'latin metal']",V8
0.467,0.891,11,-6.931,1,0.0596,3.69e-05,0.0,0.177,0.521,110.228,2lkEfig7F9vg1MALElBd0z,spotify:track:2lkEfig7F9vg1MALElBd0z,257267,4,1,Nido De Almas,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal']",Malon
0.475,0.864,2,-7.319,1,0.0428,5.75e-06,0.00075,0.0861,0.645,109.017,7cpCGXoItO3OGKyIQXAmBA,spotify:track:7cpCGXoItO3OGKyIQXAmBA,215587,4,1,Malon Mestizo,"['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal']",Malon
0.733,0.319,7,-11.585,1,0.0298,0.322,8.18e-06,0.2,0.466,110.002,419FFiitGchOUaIMEY7Dqi,spotify:track:419FFiitGchOUaIMEY7Dqi,325467,4,1,Asi Fue,"['cancion melodica', 'copla', 'pop romantico', 'spanish pop']",Isabel Pantoja
0.357,0.974,2,-3.743,1,0.234,0.000924,5.71e-05,0.314,0.286,145.063,3uA2mxyUauUv8quA4w5jD6,spotify:track:3uA2mxyUauUv8quA4w5jD6,128427,4,1,Destruccion,"['argentine heavy metal', 'argentine metal', 'latin metal']",V8
